"Restaurante","Avaliação","Localização","Vendas da Rede","Crescimento Anual (%)","Nº de Filiais","Crescimento Anual Filiais (%)","Vendas Média das Filiais","Ano do Ranking","Franquia"
"Wild Wing Café","Cecil and Dianne Crowley sought a leisurely lifestyle change in Hilton Head after a career in advertising. Finding casual restaurants lacking after a hard day of golf, they opened their first Wild Wing Café in 1990, featuring cold beer and hot chicken wings. Wing flavors have grown to 32, and today’s broad menu includes burgers, sandwiches, ribs and signature onion rings. Local bands, trivia and karaoke nights add to the festive atmosphere. Mainly in the Southeast, the company is expanding to Michigan and possibly other Midwest states.","Mt. Pleasant, S.C.",3.6e+07,16.1,33,13.8,1150000,2009,NA
"Golden Spoon Frozen Yogurt ","The self-proclaimed “ice cream lovers’ frozen yogurt,” Golden Spoon has continually refined recipes and opened new locations to develop the “best frozen yogurt outposts in the world.” The chain claims it sells more frozen yogurt in southern California than any other concept. Units are currently located in California, Alabama, Idaho, Nevada, Utah and Tokyo. The company is looking to bring its frozen premium product to other states, with 120 additional sites scheduled for development by the end of 2009.","Rancho Santa Margarita, Calif.",4.9e+07,15.3,95,13.1,550000,2009,NA
"Colton’s Steakhouse & Grill","This 13-year-old casual steakhouse chain with an American West theme prides itself on food quality, in spite of encouraging peanut lovers to discard shells on the floor. Signature dishes such as the Del Rio ribeye with chipotle butter and the marinated Hawaiian ribeye help to boost check averages to $15 at dinner and $11 at lunch. Growth goals are opening three to five units a year in the central states with multi-unit developers. Bobby Fain, president and founder, has been in the casual steakhouse business since he became a Bonanza franchisee in 1966.","Little Rock, Ark.",4.6e+07,15,21,16.7,2400000,2009,NA
"Tommy Bahama’s Tropical Café","Palm trees and lilting music evoke the islands at Tommy Bahama’s Tropical Café, geared for the well-heeled resort crowd with its signature cocktails and seafood items. But in Newport Beach, California, the chain recently revamped its concept to fit a “more local market” with a lunch menu and lower price points. Tommy Bahama’s now has locations in five ocean-touching states plus Nevada.","San Francisco, Calif.",35500000,14.1,12,20,3300000,2009,NA
"Wood Ranch BBQ & Grill","Wood Ranch now operates 13 “premium-casual” full-service restaurants in California; the newest addition recently opened in the city of Ventura. They “do it better” by slow roasting their tri-tip, ribs and chicken over-night, then heating up the grill and slathering on the sauce in a unique, two-step cooking process. The first Wood Ranch was a “cocktail napkin business plan” dreamt up by Eric Anders and Ofer Shemtov, who met while working in Los Angeles restaurants.","Agoura Hills, Calif.",3.3e+07,13.8,12,19.1,2900000,2009,NA
"Iggy’s Sports Grill","Founded in 1996 by 42-year veteran restaurateur Hersch Ipaktchian, Iggy’s accompanies its 10-page casual dining menu with televised professional sports. Entrees, priced from $5.95 to $17.95, range from burgers, pizza and enchiladas to ribeye steaks and prime rib. House-made root beer and lemonade supplement the full bar menu as the chain embarks on its “second dozen” units, adding Idaho to Utah. A lighter menu section of smaller portions for smaller prices is a new addition.","Salt Lake City, Utah",2.5e+07,13.6,12,20,2100000,2009,NA
"Daily Grind Coffee House & Café","Inspired by Seattle coffee houses when it debuted in Virginia in 1995, The Daily Grind has morphed into a bakery-café model, serving breakfast pastries and egg sandwiches and lunch to accompany an ever-expanding line of coffee drinks. Beverages continue to be the primary attraction, including espresso and drip coffees, chai tea lattes, Italian sodas, smoothies and steamed apple cider. A relaxed atmosphere is an integral part of the concept.","Winchester, Va.",2.8e+07,13.4,68,19.3,445000,2009,NA
"SanSai Japanese Grill","This contemporary Japanese grill, which debuted in Glendale, California, in 2002, is an East meets West fast-casual cafe, concentrated in California and Missouri. Its healthful, made-from-scratch menu ranges from sushi, sashimi and rolls to grilled fish and meats, tempura, bowls, soups and salads. The open kitchen with chefs at work is a focal point. Outdoor seating usually is provided.","Los Angeles, Calif.",2.6e+07,13,34,9.7,825000,2009,NA
"Indigo Joe’s Sports Pub & Restaurant","Sports for everyone from fanatics to casual fans sets the tone at Indigo Joe’s, with a video wall, large plasma screens and table speaker boxes on request. Suited to families with young children as well as nights out with the guys or gals, Indigo Joe’s offers a broad menu of casual favorites including melts, fish and chips, burgers, Mexican specialties, salads and other lighter items. A full bar includes a wide selection of cleverly named martinis, margaritas and mai tais. The company has been franchising since 2002.","Laguna Hills, Calif.",32700000,12.8,22,15.8,1560000,2009,NA
"Firebirds Wood Fired Grill","Created by Dennis Thompson, Firebirds currently has 17 locations nationwide and looks forward to further growth in 2010. Its contemporary yet inviting setting sports dark woods, bold colors, an exposed kitchen and stone fireplaces. The aroma of steaks, chicken, seafood and burgers grilling over open hardwood flames enhances the ambience. Private label wines and signature cocktails are available to pair up with food selections","Charlotte, N.C.",43500000,11.5,15,25,3200000,2009,NA
"Amato’s Pizza","Founded in 1902 by an immigrant selling fresh rolls filled with ham, cheese and vegetables to fellow dockworkers, Amato’s developed an expanded menu including grilled sandwiches, pastas, pizzas, calzones and salads plus the original signature item, The Italian. Today it reaches beyond Maine into Vermont and New Hampshire and is exploring opportunities in Massachusetts and upstate New York, says Franchising Director Jeff Perkins.","Portland, Maine",25500000,10.9,34,9.7,775000,2009,NA
"Hyde Park Prime Steakhouse","Units of this upscale steak/seafood operation, which features Japanese beef, are clustered in the Midwest with two in Florida and one in Buffalo. The average tab is $50 to $65. A suburban Detroit life center is targeted for 2010. Plans call for one or two units every 12 to 18 months. A stylish new, lower-priced concept, Jekyll’s Kitchen, an American grill, could become a growth vehicle.","Beachwood, Ohio",25500000,10.9,12,33.3,2600000,2009,NA
"Sammy’s Woodfired Pizza","Sami Ladeki brought a wood-fired oven to the San Diego area in 1989 and has been making artisan thin crust pizzas such as Dutch Goat Cheese and Brie with Truffle Oil ever since. Other menu items include pastas, tacos and stylish entrees. This year, he halted expansion despite having sites in negotiation, but is looking again to expand.","La Jolla, Calif.",3.1e+07,10.7,18,28.6,2e+06,2009,NA
"Hard Times Café","Fred and Jim Parker’s grandfather, a trail drive cowboy and chili aficionado, introduced them to chili as children. Their first chili-centric unit opened in Alexandria, Virginia, in 1983 when Fred, a graphic artist, created a restaurant from a design project. The chain, described as “Depression era chili parlors” with a pool hall in the back, is franchised by F&K Management. A new unit is opening in Hagerstown, Maryland.","Springfield, Va.",28800000,10.6,17,13.3,1900000,2009,NA
"Dutch Bros.","This 17-year-old West Coast, Dutch-themed drive-through coffee concept opened a fourth Arizona site in Phoenix and another in Tigard, Oregon, recently. The chain interacts with customers through Facebook, which “creates a community in cyberspace” and is useful for promotions and “sustaining our culture of ‘love all, serve all,’” says Brian Maxwell, vice president of growth. Plans call for four or five new stores in existing markets.","Grant's Pass, Ore.",4.2e+07,9.1,146,21.7,3e+06,2009,NA
"Stevi B’s The Ultimate Pizza Buffet","Stevi B’s pizza buffet concept offers specialty pizzas such as Mac ‘n Cheese or Killer Baked Potato, along with the more traditional. Units seat 144 to 200 and sport a big game room, attracting a family clientele. Purchased last year by Argonne Capital, an IHOP franchisee, Stevi’s re-branded with a new logo. This year’s challenge has been finding lenders for franchisees, says Franchising Sales Director Melissa Farlin.","Atlanta, Ga.",2.8e+07,7.7,35,25,915000,2009,NA
"Winger’s Grill and Bar","Brothers Eric and Scott Slaymaker were no newcomers to franchising when they opened Winger’s in 1993; they had already owned T.G.I. Friday’s and Tony Roma’s restaurants. Their first Winger’s opened in Bountiful, Utah, inside a 1940s diner, where they upgraded chicken wings from an appetizer to an entrée. There are now Winger’s in eight states, with plans for expansion to Kentucky and Puerto Rico in 2009.","Salt Lake City, Utah",44600000,7.3,39,11.4,1200000,2009,NA
"Spring Creek Barbecue","Nearly 30 years ago Spring Creek Barbecue began serving hickory smoked meats with its secret sauce, giant loaded baked potatoes and cooked-to-order okra. Two new Houston units are in the works with three a year planned through 2012. Entry into Phoenix is set for 2010 and Austin/San Antonio in ’11. Retention is high with management incentives such as a truck and luxury suite tickets to Texas Rangers games","Arlington, Texas",30500000,7,27,12.5,1200000,2009,NA
"Macado’s Restaurant & Bar","How often does a menu look like the restaurant’s specialty? At Macado’s, the signature items are overstuffed deli sandwiches, and the menu—overstuffed with dozens of sandwiches, salads, quesadillas, nachos, wings and more—conjures them up. A new unit opened in Bristol, Tennessee and more are planned in Staunton and Harrisonburg, Virginia.","Roanoke, Va.",2.7e+07,3.8,16,14.3,1800000,2009,NA
"Stoney River Legendary Steaks","“Steak. Seafood. Sanctuary.” is what Stoney River promises at its polished casual steakhouses. Every Stoney River is “a little bit unique,” but all serve warm hush puppies with honey butter, tempura lobster tails and, of course, steak—“comfort food dressed up in a sports jacket”—for a wide range of diners.","Roswell, Ga.",3.7e+07,2.8,12,20,3400000,2009,NA
"Menchie’s Frozen Yogurt","Topping the 2010 list is Menchie’s Frozen Yogurt, which made double-digit unit growth look like chicken feed. The Encino, California-based upstart grew from just three company owned units in 2008to 32 last year, a nearly four-digit gain. By late summer, the chain expects to celebrate the opening of its 70th domestic store. By early 2011, the company plans to have franchised stores operating in Canada, Japan, Mexico, Australia and the U.K., as well.","Encino, Calif.",25400000,748,32,966.7,750000,2010,NA
"Yogurtland","The big draw at this QSR is a wide selection of tart and conventional frozen yogurts featuring live and active cultures. In addition to vanilla, fresh strawberry and other popular flavors, more exotic choices such as pomegranate, pistachio, mango and green tea are available—all of which can be customized with a variety of fruit, candy, nut and cereal toppings. The concept debuted in 2004 and has expanded through franchising. Units are inline or freestanding, with whimsical, bright interiors to create a cozy, fun atmosphere. ","Anaheim, Calif.",4.2e+07,157.7,61,117.9,1100000,2010,NA
"Tilted Kilt Pub & Eatery","A Celtic theme permeates this full-service casual chain—down to the concept’s own registered Tartan plaid, hand-painted limericks and the scantily clad kilt-wearing servers and bartenders. The atmosphere encourages camaraderie through televised sports, dart and billiards games, a selection of cold brews and a mix of traditional British-style pub grub with American comfort food. The former includes Bangers and Mash, Shepherd’s Pie and Fish and Chips; the latter offers up chili, burgers and meatloaf. A recent rollout of spicier items includes Kilt Burner Wings and Pork Carnitas Tacos. Let’s Eat Inc. opened the first Tilted Kilt in Las Vegas in 2003, and the chain is now operated by Tilted Kilt Franchise Operating LLC. ","Tempe, Ariz.",47800000,96.7,28,100,2500000,2010,NA
"Red Mango ","This fast-growing frozen yogurt concept was founded in Seoul, Korea, in 2002. The chain is operated and franchised domestically by Red Mango USA. Each outlet features a stylish red and white color scheme. Furnishings include red leather chaise lounge chairs, white tables and dark wood counters. The chain’s frozen yogurt is gluten-free, fat-free and all natural. Flavors include original tart, green tea and pomegranate. To these base flavors, customers may add toppings like chocolate pieces, cereal and fresh fruit. The chain has recently introduced smoothies and parfaits to boost lunchtime business. At 300 calories each, the products are advertised as a lunch alternative for the heath-conscious, with the tagline, “Re-Think Lunch.” ","Dallas, Texas",4.6e+07,87.8,60,50,925000,2010,NA
"The Counter","The Counter is an emerging chain of upscaled burger joints. The limited-service concept was founded with the goal of recreating the classic ’50s burger joint with a modern and chic twist. The Counter’s list of burger toppings is so long that the chain boasts some 312,120-plus burger configurations. The company prefers endcaps in upscale retail centers with heavy foot traffic and proximity to shopping and entertainment. Restaurants range from 2,700 to 3,000 square feet with seating for 110. Interior décor is modern and glossy, with brushed aluminum counters and seating. Jeff Weinstein, a former bar andnightclub owner, developed The Counter and opened its first location in 2003 in Santa Monica, California. A second location debuted in Palo Alto, California, in 2006, after which Weinstein launched a franchising program. The chain has since expanded nationally.","Culver City, Calif.",4.1e+07,67.3,22,29.4,2100000,2010,NA
"Genghis Grill","At this fast-casual Mongolian Barbeque concept, guests can customize their meals and watch as the food is prepared by trained “grill masters.” Customers choose from over 70 different ingredients to build their own “Genghis Bowls.” They first select a protein like chicken, sausage or calamari. They then pick seasonings, vegetables, sauces and a starch to round off the meal. A number of preset protein flavors such as Thai chicken and citrus beef are also available. The chain has an online ordering system to handle take-out orders. Genghis Grill Franchise Concepts LP, a subsidiary of the Dallas-based Chalak Group, runs the restaurants. The chain aims to have 100 units by 2011.","Dallas, Texas",48100000,63.1,41,41.4,1400000,2010,NA
"Cool Hand Luke’s Steakhouse/Saloon","Saloon is a full-service restaurant and bar that serves up USDA Choice steaks, ribs, chicken, seafood and Southwestern and Tex-Mex fare. Restaurants operate mostly in freestanding sites that are estimated to range from 3,500 to 4,500 square feet. There is seating for at least 200 at a combination of leather booths and chairs in the main dining area as well as overstuffed leather sofas, curved booths and bar stools in the saloon. Restaurants offer dine-in and takeout services for dinner daily; lunch is typically offered on Sundays. The chain is part of multiconcept operator Dynaco Food Concepts’ portfolio of concepts, which also includes Perko’s Cafe & Grill, Yukon Jack’s Log Cabin Dining and Huckleberrys.","Fresno, Calif.",2.9e+07,61.1,13,18.2,2400000,2010,NA
"Ocean Prime","For a contemporary American supper club experience that combines the best of both land and sea, diners head to this retro full-service restaurant. The broad menu focuses on steaks, fresh fish and other seafood specialties including a raw bar, but also features chicken, salads and a lighter lunch menu. Restaurants are typically freestanding units with seating for 400 and many offer outdoor patios with fireplaces. The Cameron Mitchell Restaurant group opened the first Ocean Prime in Mississippi in 2008 and has since opened more locations throughout Texas, Florida and Arizona.","Columbus, Ohio",3.5e+07,55.6,6,20,7e+06,2010,NA
"Margaritas Mexican Restaurant","John Pelletier began Margaritas Mexican Restaurant in Concord, New Hampshire, in 1985. By 1988, John’s brother Dave had joined the venture with the addition of two more locations. Seeking to procure a more authentic Mexican experience, the two brothers took their first trip to Mexico and began to hone the concept into what it is today, a full-service, casual-dining concept that specializes in freshly prepared Mexican fare served up in a family-friendly environment. With a vibrant atmosphere, the concept strives to educate patrons on the wealth of Mexican culture. Units vary significantly in décor, butall feature a collection of art created by Mexican artists showcased in the main dining room. Each year the chain also hosts a selection of visiting Mexican artists who explain their works to restaurant patrons and provide lectures at local schools.","Portsmouth, N.H.",43900000,46.5,19,18.8,2300000,2010,NA
"Brixx Wood Fired Pizza","Brixx Wood Fired Pizza is a fast-casual chain specializing in award-winning handcrafted pizzas prepared in wood-burning brick ovens. But customers flock to Brixx for more than just pizza—its extensive list of wines, microbrews and dozens of beers on tap make each location a viable evening destination for adults seeking a fun and relaxed atmosphere. Brixx units average 3,200–3,400 square feet with seating for approximately 45 guests. The company is selective about its sites, and generally seeks busy downtown areas or locations in proximity to high-traffic retail centers and sporting venues. Older interiors tend to resemble a cozy, homey neighborhood bar, while newer units are a bit more upscale. Nightly promotions target repeat customers with free dinners and discount beverages. In addition, Brixx offers drink specials and reward programs. Takeout and catering services are available. Eric Horsley, Barbara Bodford-Morgan and Jeff Van Dyke opened the first Brixx Wood Fired Pizza in 1998 in  Charlotte, North Carolina. Steady growth has continued in and around Charlotte, as well as in South Carolina. In early 2007, Brixx formed a partnership with McAlister’s Deli co-founder Neil Newcomb to launch Brixx Franchise Systems LLC.","Belmont, N.C.",2.7e+07,36.4,18,50,1800000,2010,NA
"Happy’s Pizza","Happy’s Pizza debuted in Detroit, Michigan, in 1994. Additional locations followed throughout the state, eventually entering the Ohio and Illinois markets, expanding through franchising. The restaurant is a limited-service chain with a menu that goes beyond pizzas to include everything from barbecue ribs and fried chicken to seafood and burgers, wraps and sandwiches. The chain does particularly well with families with small children and with college-age young adults. Happy’s Pizza LLC is the privately held parent company.","Farmington Hills, Mich.",2.5e+07,35.1,52,48.6,575000,2010,NA
